agent_id,origin_node,destination_node,link_sequence
298,1,6,1 2 7
299,1,6,1 2 7
300,1,6,1 2 7
301,1,6,1 2 7
302,1,6,1 2 7
303,1,6,3 6
304,1,6,3 6
305,1,6,3 6
306,1,6,3 6
307,1,6,1 2 7
308,1,6,3 6
309,1,6,1 2 7
310,1,6,3 6
311,1,6,1 2 7
312,1,6,3 6
313,1,6,1 2 7
314,1,6,3 6
315,1,6,3 6
316,1,6,3 6
317,1,6,3 6
318,1,6,1 2 7
319,1,6,1 2 7
320,1,6,3 6
321,1,6,1 2 7
322,1,6,1 2 7
323,1,6,1 2 7
324,1,6,3 6
325,1,6,3 6
326,1,6,3 6
327,1,6,3 6
328,1,6,1 2 7
329,1,6,1 2 7
330,1,6,3 6
331,1,6,1 2 7
332,1,6,3 6
333,1,6,3 6
334,1,6,3 6
335,1,6,3 6
336,1,6,3 6
337,1,6,3 6
338,1,6,3 6
339,1,6,3 6
340,1,6,3 6
341,1,6,1 2 7
342,1,6,1 2 7
343,1,6,3 6
344,1,6,1 2 7
345,1,6,1 2 7
346,1,6,3 6
347,1,6,1 2 7
348,1,6,1 2 7
349,1,6,1 2 7
350,1,6,1 2 7
351,1,6,3 6
352,1,6,1 2 7
353,1,6,1 2 7
354,1,6,1 2 7
355,1,6,1 2 7
356,1,6,3 6
357,1,6,3 6
358,1,6,3 6
359,1,6,3 6
360,1,6,3 6
361,1,6,1 2 7
362,1,6,1 2 7
363,1,6,3 6
364,1,6,1 2 7
365,1,6,3 6
366,1,6,1 2 7
367,1,6,1 2 7
368,1,6,1 2 7
369,1,6,1 2 7
370,1,6,3 6
371,1,6,3 6
372,1,6,1 2 7
373,1,6,3 6
374,1,6,1 2 7
375,1,6,3 6
376,1,6,3 6
377,1,6,3 6
378,1,6,3 6
379,1,6,1 2 7
380,1,6,3 6
381,1,6,3 6
382,1,6,3 6
383,1,6,3 6
384,1,6,3 6
385,1,6,1 2 7
386,1,6,1 2 7
387,1,6,3 6
388,1,6,1 2 7
389,1,6,3 6
390,1,6,1 2 7
391,1,6,1 2 7
392,1,6,3 6
393,1,6,3 6
394,1,6,3 6
395,1,6,1 2 7
396,1,6,3 6
397,1,6,3 6
398,1,6,3 6
399,1,6,1 2 7
