agent_id,o_zone_id,d_zone_id,path_length,path_travel_time,path_free_flow_travel_time,link_sequence,node_sequence
29,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
30,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
31,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
32,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
33,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
34,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
35,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
36,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
37,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
38,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
39,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
40,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
41,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
42,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
43,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
44,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
45,1,49,20,39.4793778066595,17.01016661392965,11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 70 72 74,1 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 2 47 48 49
