link_id,from_node_id,to_node_id,flow,travel_time,free_flow_travel_time
2,3.0,4,1000,1.1758197492756477,1.1756123628319683
3,4.0,5,1000,1.1285995202274843,1.1284004623013162
4,5.0,6,1000,1.2914838296672473,1.2912560428498638
5,6.0,7,1000,1.1750926149246823,1.174885356730088
6,7.0,8,1112,1.2799628876440825,1.279617731492413
7,8.0,9,1112,1.0588623418276415,1.0585768078839772
8,10.0,11,1112,0.9319069705448493,0.930636161407782
9,11.0,12,500,0.6135377771674355,0.6135310127132861
10,9.0,10,1112,1.0017575267362113,1.0003914648240895
11,1.0,14,3476,0.4897782431670975,0.477481452023811
12,14.0,15,3476,0.40359236541498617,0.39345943057402416
13,15.0,16,3476,0.4340397798523354,0.4231424062037854
14,16.0,17,3476,0.680410798831045,0.6633278238284017
15,17.0,18,3476,0.644539321239795,0.6283569662097506
16,18.0,19,3476,0.6922914730012814,0.6749102116395541
17,19.0,20,3476,0.7639324481479853,0.7447525072389923
18,20.0,21,3476,0.7161739226342619,0.6981930480818225
19,21.0,22,3476,0.8475114612350609,0.8262331141958815
20,22.0,23,3476,0.6788046132672577,0.6617619645320442
21,23.0,24,6888,1.1888641256099173,0.8509575353871773
22,24.0,25,6888,1.2030317385213534,0.8610983384493021
23,25.0,26,6888,1.2192915050551285,0.8727366498067531
24,26.0,27,6888,1.007949264657507,0.7214634570693575
25,27.0,28,6888,1.0892654595971054,0.7796674413113451
26,28.0,29,6888,0.8539719667346232,0.6112505747697814
27,29.0,2,6888,1.1072527720679974,0.792542284414729
28,12.0,2,500,0.699338813566598,0.699336373917258
29,1.0,30,3524,3.648177888824428,3.2065442976623952
30,30.0,31,3524,9.989170852931966,3.11804839250873
31,31.0,32,3524,3.282795950908519,2.8853940124523096
32,32.0,33,3524,7.917721788335725,2.4714603502056742
33,34.0,2,0,5.793959014254291,5.793959014254291
34,33.0,35,0,3.04325996992556,3.04325996992556
35,35.0,34,0,8.725937340773237,8.725937340773237
36,36.0,31,0,1.2108317695452795,1.2108317695452795
38,31.0,37,0,0.5531555697462218,0.5531555697462218
41,33.0,38,112,0.5121335090817553,0.5121334976306579
42,33.0,39,3412,0.509433035973605,0.4998073744516386
45,35.0,40,0,0.4659091017722506,0.4659091017722506
46,35.0,41,0,0.7344683104684099,0.7344683104684099
48,4.0,36,0,1.8605018206221184,1.8605018206221184
57,38.0,7,112,0.3855347585587818,0.3855340603075699
58,39.0,23,3412,1.1653234894749371,0.4552119311213101
61,42.0,7,0,0.2158075312287598,0.2158075312287598
62,23.0,43,0,0.31941235346357943,0.31941235346357943
64,11.0,44,612,2.155372506467148,2.1518979113272425
66,44.0,45,4000,8.817745128492582,2.2342804647103307
68,45.0,46,4000,6.584899995489778,1.6685119843681737
70,2.0,47,7388,51.427389288474956,1.457224222829999
72,47.0,48,4000,8.036875232122336,2.03642009003213
74,48.0,49,4000,7.242695053427597,1.8351870953310052
77,47.0,44,3388,2.2600160261771536,0.8980690603219094
78,47.0,50,0,0.9988748373676357,0.9988748373676357
