link_id,flow_from_agent_paths
2,1000
3,1000
4,1000
5,1000
6,2851
7,2851
8,2851
9,500
10,2851
11,5149
12,5149
13,5149
14,5149
15,5149
16,5149
17,5149
18,5149
19,5149
20,5149
21,5149
22,5149
23,5149
24,5149
25,5149
26,5149
27,5149
28,500
29,1851
30,1851
31,1851
32,1851
41,1851
57,1851
64,2351
66,4000
68,4000
70,5649
72,4000
74,4000
77,1649
